Algorithm,Threshold,Precision,Recall,F1
GeometricMean,0.5,0.09359764031274476,0.31726092451109916,0.14020544764492662
GeometricMean,0.4,0.04787168563485539,0.33050676339523016,0.08246198386258578
GeometricMean,0.3,0.0418905757502045,0.33050676339523016,0.07324601407110234
GeometricMean,0.2,0.040394247935913105,0.3401113780905707,0.07124548834008644
GeometricMean,0.1,0.0398450371205178,0.3401113780905707,0.07043173189801623
Goodman,1.0,0.27087556846070243,0.2836035909843328,0.26045053440547244
Goodman,0.9,0.27087556846070243,0.2836035909843328,0.26045053440547244
Goodman,0.8,0.27087556846070243,0.2836035909843328,0.26045053440547244
Goodman,0.7,0.27087556846070243,0.2836035909843328,0.26045053440547244
Goodman,0.6,0.17563510583804254,0.3117964436367822,0.21623069606576054
Goodman,0.5,0.12993243922941952,0.31726092451109916,0.1761229944026259
