Algorithm,Threshold,Precision,Recall,F1
Cohen,0.3,0.9005928771135873,0.056248595243302564,0.10569969567566916
Cohen,0.2,0.81423152692029,0.198943971398463,0.3196590920614985
Cohen,0.1,0.7231619146496898,0.23461163320374465,0.35422487271422165
Dice,1.0,0.9340085067487814,0.016519277026376813,0.03245777725582568
Dice,0.9,0.9340085067487814,0.016519277026376813,0.03245777725582568
Dice,0.8,0.9340085067487814,0.016519277026376813,0.03245777725582568
Dice,0.7,0.9340085067487814,0.016519277026376813,0.03245777725582568
Dice,0.6,0.9340085067487814,0.016519277026376813,0.03245777725582568
Dice,0.5,0.9150029685378417,0.02968563459024875,0.05732434979194049
Dice,0.4,0.9150029685378417,0.02968563459024875,0.05732434979194049
Dice,0.3,0.9100972185091664,0.04035988325760407,0.07705411785269524
Dice,0.2,0.9005928771135873,0.056248595243302564,0.10569969567566916
Dice,0.1,0.81423152692029,0.198943971398463,0.3196590920614985
Euclid,1.0,0.9340085067487814,0.016519277026376813,0.03245777725582568
Euclid,0.9,0.9150029685378417,0.02968563459024875,0.05732434979194049
Euclid,0.8,0.6158365629427204,0.07915546008968007,0.14018275503598693
Euclid,0.7,0.6585618638577467,0.10755997370809549,0.18487997294751665
Euclid,0.6,0.6585618638577467,0.10755997370809549,0.18487997294751665
Euclid,0.5,0.6820830495911933,0.12517567445412356,0.21151101756655158
Euclid,0.4,0.7343428477826875,0.26716877256641985,0.3917813726802937
Euclid,0.3,0.7343428477826875,0.26716877256641985,0.3917813726802937
Euclid,0.2,0.7343428477826875,0.26716877256641985,0.3917813726802937
Euclid,0.1,0.7343428477826875,0.26716877256641985,0.3917813726802937
Fleiss,1.0,0.9340085067487814,0.016519277026376813,0.03245777725582568
Fleiss,0.9,0.9150029685378417,0.02968563459024875,0.05732434979194049
Fleiss,0.8,0.9150029685378417,0.02968563459024875,0.05732434979194049
Fleiss,0.7,0.9100972185091664,0.04035988325760407,0.07705411785269524
Fleiss,0.6,0.9095008262910896,0.047586988043957966,0.0902727599799348
Fleiss,0.5,0.632880255064228,0.08589638405418205,0.1511931974259314
Fleiss,0.4,0.6688176128071984,0.11553083764152657,0.19697518199060085
Fleiss,0.3,0.6820830495911933,0.12517567445412356,0.21151101756655158
Fleiss,0.2,0.6820830495911933,0.12517567445412356,0.21151101756655158
Fleiss,0.1,0.7343428477826875,0.26716877256641985,0.3917813726802937
GeometricMean,1.0,0.9340085067487814,0.016519277026376813,0.03245777725582568
GeometricMean,0.9,0.9340085067487814,0.016519277026376813,0.03245777725582568
GeometricMean,0.8,0.9150029685378417,0.02968563459024875,0.05732434979194049
GeometricMean,0.7,0.9100972185091664,0.04035988325760407,0.07705411785269524
GeometricMean,0.6,0.9005928771135873,0.056248595243302564,0.10569969567566916
GeometricMean,0.5,0.9005928771135873,0.056248595243302564,0.10569969567566916
GeometricMean,0.4,0.6474783465477842,0.09418169107392844,0.16436177513556452
GeometricMean,0.3,0.6688176128071984,0.11553083764152657,0.19697518199060085
GeometricMean,0.2,0.6820830495911933,0.12517567445412356,0.21151101756655158
GeometricMean,0.1,0.6861804990532736,0.12833364383696663,0.21621889247163453
Goodman,1.0,0.9340085067487814,0.016519277026376813,0.03245777725582568
Goodman,0.9,0.9340085067487814,0.016519277026376813,0.03245777725582568
Goodman,0.8,0.9340085067487814,0.016519277026376813,0.03245777725582568
Goodman,0.7,0.9340085067487814,0.016519277026376813,0.03245777725582568
Goodman,0.6,0.9150029685378417,0.02968563459024875,0.05732434979194049
Goodman,0.5,0.9100972185091664,0.04035988325760407,0.07705411785269524
