Algorithm,Threshold,Precision,Recall,F1
M2,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
M2,0.8,0.7656280495637519,0.049229963847540935,0.09223370780494015
M2,0.7,0.726798865253364,0.06297557633233546,0.11551605928063635
M2,0.6,0.7329569662945473,0.09110126946394087,0.16155585863860064
M2,0.5,0.6923256825521927,0.2650738490344971,0.3832882411638616
M2,0.4,0.6923256825521927,0.2650738490344971,0.3832882411638616
M2,0.3,0.6923256825521927,0.2650738490344971,0.3832882411638616
M2,0.2,0.6923256825521927,0.2650738490344971,0.3832882411638616
M2,0.1,0.6923256825521927,0.2650738490344971,0.3832882411638616
ochiai,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
ochiai,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
ochiai,0.8,0.8358692743257836,0.029600587038008663,0.05710935867340464
ochiai,0.7,0.7656280495637519,0.049229963847540935,0.09223370780494015
ochiai,0.6,0.7656280495637519,0.049229963847540935,0.09223370780494015
ochiai,0.5,0.7254476092589223,0.07263208669638407,0.13169287512716457
ochiai,0.4,0.6923256825521927,0.2650738490344971,0.3832882411638616
ochiai,0.3,0.6923256825521927,0.2650738490344971,0.3832882411638616
ochiai,0.2,0.6923256825521927,0.2650738490344971,0.3832882411638616
ochiai,0.1,0.6923256825521927,0.2650738490344971,0.3832882411638616
Ochiai2,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
Ochiai2,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
Ochiai2,0.8,0.8358692743257836,0.029600587038008663,0.05710935867340464
Ochiai2,0.7,0.8358692743257836,0.029600587038008663,0.05710935867340464
Ochiai2,0.6,0.7656280495637519,0.049229963847540935,0.09223370780494015
Ochiai2,0.5,0.7656280495637519,0.049229963847540935,0.09223370780494015
Ochiai2,0.4,0.726798865253364,0.06297557633233546,0.11551605928063635
Ochiai2,0.3,0.7254476092589223,0.07263208669638407,0.13169287512716457
Ochiai2,0.2,0.7329569662945473,0.09110126946394087,0.16155585863860064
Ochiai2,0.1,0.7329569662945473,0.09110126946394087,0.16155585863860064
Overlap,1.0,0.6923256825521927,0.2650738490344971,0.3832882411638616
Overlap,0.9,0.6923256825521927,0.2650738490344971,0.3832882411638616
Overlap,0.8,0.6923256825521927,0.2650738490344971,0.3832882411638616
Overlap,0.7,0.6923256825521927,0.2650738490344971,0.3832882411638616
Overlap,0.6,0.6923256825521927,0.2650738490344971,0.3832882411638616
Overlap,0.5,0.6923256825521927,0.2650738490344971,0.3832882411638616
Overlap,0.4,0.6923256825521927,0.2650738490344971,0.3832882411638616
Overlap,0.3,0.6923256825521927,0.2650738490344971,0.3832882411638616
Overlap,0.2,0.6923256825521927,0.2650738490344971,0.3832882411638616
Overlap,0.1,0.6923256825521927,0.2650738490344971,0.3832882411638616
RogersTanimoto,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
RogersTanimoto,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
RogersTanimoto,0.8,0.8358692743257836,0.029600587038008663,0.05710935867340464
RogersTanimoto,0.7,0.7656280495637519,0.049229963847540935,0.09223370780494015
RogersTanimoto,0.6,0.7656280495637519,0.049229963847540935,0.09223370780494015
RogersTanimoto,0.5,0.47424983593391673,0.12748517772100346,0.20088733476550624
RogersTanimoto,0.4,0.47424983593391673,0.12748517772100346,0.20088733476550624
RogersTanimoto,0.3,0.504287435357056,0.15979782998820663,0.24261924402659954
RogersTanimoto,0.2,0.5348442768317095,0.18708268549890109,0.2771574451789254
RogersTanimoto,0.1,0.5348442768317095,0.18708268549890109,0.2771574451789254
Rogot1,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
Rogot1,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
Rogot1,0.8,0.8358692743257836,0.029600587038008663,0.05710935867340464
Rogot1,0.7,0.7656280495637519,0.049229963847540935,0.09223370780494015
Rogot1,0.6,0.726798865253364,0.06297557633233546,0.11551605928063635
Rogot1,0.5,0.726798865253364,0.06297557633233546,0.11551605928063635
Rogot1,0.4,0.48484676784591657,0.13529344769970594,0.21149577688391033
Rogot1,0.3,0.5224434040980874,0.1758542728094191,0.2630457169857076
Rogot1,0.2,0.5348442768317095,0.18708268549890109,0.2771574451789254
Rogot1,0.1,0.6175336942817059,0.3507983417888152,0.4473969878842865
Rogot2,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
Rogot2,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
Rogot2,0.8,0.7656280495637519,0.049229963847540935,0.09223370780494015
Rogot2,0.7,0.726798865253364,0.06297557633233546,0.11551605928063635
Rogot2,0.6,0.7329569662945473,0.09110126946394087,0.16155585863860064
Rogot2,0.5,0.7329569662945473,0.09110126946394087,0.16155585863860064
Rogot2,0.4,0.5051145930364287,0.1527765315183134,0.23449353727744593
Rogot2,0.3,0.5224434040980874,0.1758542728094191,0.2630457169857076
Rogot2,0.2,0.5348442768317095,0.18708268549890109,0.2771574451789254
Rogot2,0.1,0.5381778589444811,0.19031359015705931,0.2811621317406093
RussellRao,1.0,0.6923256825521927,0.2650738490344971,0.3832882411638616
RussellRao,0.9,0.6923256825521927,0.2650738490344971,0.3832882411638616
RussellRao,0.8,0.6923256825521927,0.2650738490344971,0.3832882411638616
RussellRao,0.7,0.6923256825521927,0.2650738490344971,0.3832882411638616
RussellRao,0.6,0.6923256825521927,0.2650738490344971,0.3832882411638616
RussellRao,0.5,0.6923256825521927,0.2650738490344971,0.3832882411638616
